shape  inj_point size  dt  physics_upsampling  t0  t_inj level t_rise t_fall 
OneSidedDoubleExpGlitch  readout_isi_carrier_13 3456000.0  0.25  1  10368000  11214714 262 9 6
OneSidedDoubleExpGlitch  readout_tmi_carrier_13 3456000.0  0.25  1  10368000  10694896 2647 13 7
OneSidedDoubleExpGlitch  readout_tmi_carrier_32 3456000.0  0.25  1  10368000  11195890 1932 12 16
OneSidedDoubleExpGlitch  readout_isi_carrier_12 3456000.0  0.25  1  10368000  10370425 542 11 9
OneSidedDoubleExpGlitch  readout_isi_carrier_12 3456000.0  0.25  1  10368000  10956395 3353 6 15
OneSidedDoubleExpGlitch  readout_isi_carrier_23 3456000.0  0.25  1  10368000  10992146 1743 18 7
OneSidedDoubleExpGlitch  readout_tmi_carrier_12 3456000.0  0.25  1  10368000  10964380 276 8 18
OneSidedDoubleExpGlitch  readout_isi_carrier_23 3456000.0  0.25  1  10368000  10543026 861 9 15
OneSidedDoubleExpGlitch  readout_tmi_carrier_12 3456000.0  0.25  1  10368000  10795108 4160 14 16
OneSidedDoubleExpGlitch  readout_tmi_carrier_32 3456000.0  0.25  1  10368000  10906169 869 17 7
OneSidedDoubleExpGlitch  readout_isi_carrier_13 3456000.0  0.25  1  10368000  10773173 2122 14 11
OneSidedDoubleExpGlitch  readout_isi_carrier_31 3456000.0  0.25  1  10368000  10490207 471 17 5
OneSidedDoubleExpGlitch  readout_tmi_carrier_23 3456000.0  0.25  1  10368000  10758019 3178 12 16
OneSidedDoubleExpGlitch  readout_isi_carrier_23 3456000.0  0.25  1  10368000  10805400 2067 9 10
OneSidedDoubleExpGlitch  readout_isi_carrier_13 3456000.0  0.25  1  10368000  11002031 1221 10 13
OneSidedDoubleExpGlitch  readout_isi_carrier_32 3456000.0  0.25  1  10368000  10403161 4486 8 12
OneSidedDoubleExpGlitch  readout_tmi_carrier_12 3456000.0  0.25  1  10368000  10857477 3914 5 6
OneSidedDoubleExpGlitch  readout_tmi_carrier_13 3456000.0  0.25  1  10368000  11163000 3123 10 8
OneSidedDoubleExpGlitch  readout_isi_carrier_31 3456000.0  0.25  1  10368000  11147155 4510 16 16
OneSidedDoubleExpGlitch  readout_isi_carrier_13 3456000.0  0.25  1  10368000  10481589 4209 10 12
OneSidedDoubleExpGlitch  readout_tmi_carrier_32 3456000.0  0.25  1  10368000  10993354 3380 14 16
OneSidedDoubleExpGlitch  readout_tmi_carrier_31 3456000.0  0.25  1  10368000  10546758 794 12 11
OneSidedDoubleExpGlitch  readout_isi_carrier_31 3456000.0  0.25  1  10368000  10653232 4901 6 19
OneSidedDoubleExpGlitch  readout_tmi_carrier_12 3456000.0  0.25  1  10368000  10874054 2458 14 7
OneSidedDoubleExpGlitch  readout_isi_carrier_13 3456000.0  0.25  1  10368000  10829239 2704 7 7
OneSidedDoubleExpGlitch  readout_isi_carrier_31 3456000.0  0.25  1  10368000  11117787 2924 6 12
OneSidedDoubleExpGlitch  readout_tmi_carrier_23 3456000.0  0.25  1  10368000  11077883 3297 7 16
OneSidedDoubleExpGlitch  readout_tmi_carrier_32 3456000.0  0.25  1  10368000  10862554 2585 12 11
OneSidedDoubleExpGlitch  readout_isi_carrier_21 3456000.0  0.25  1  10368000  10948325 4427 13 16
OneSidedDoubleExpGlitch  readout_isi_carrier_21 3456000.0  0.25  1  10368000  10936393 361 5 12
OneSidedDoubleExpGlitch  readout_isi_carrier_21 3456000.0  0.25  1  10368000  10605887 1965 17 9
OneSidedDoubleExpGlitch  readout_isi_carrier_31 3456000.0  0.25  1  10368000  11192963 3994 10 15
OneSidedDoubleExpGlitch  readout_tmi_carrier_32 3456000.0  0.25  1  10368000  10423876 3521 9 8
OneSidedDoubleExpGlitch  readout_isi_carrier_23 3456000.0  0.25  1  10368000  10923139 735 19 9
OneSidedDoubleExpGlitch  readout_tmi_carrier_21 3456000.0  0.25  1  10368000  10452406 919 19 5
OneSidedDoubleExpGlitch  readout_isi_carrier_21 3456000.0  0.25  1  10368000  10429696 2310 15 18
OneSidedDoubleExpGlitch  readout_tmi_carrier_12 3456000.0  0.25  1  10368000  10530614 3031 5 17
OneSidedDoubleExpGlitch  readout_isi_carrier_31 3456000.0  0.25  1  10368000  11183967 1322 14 13
OneSidedDoubleExpGlitch  readout_isi_carrier_21 3456000.0  0.25  1  10368000  10531263 875 5 6
OneSidedDoubleExpGlitch  readout_tmi_carrier_21 3456000.0  0.25  1  10368000  10448877 2330 13 9
OneSidedDoubleExpGlitch  readout_isi_carrier_32 3456000.0  0.25  1  10368000  11193818 1021 17 14
OneSidedDoubleExpGlitch  readout_isi_carrier_13 3456000.0  0.25  1  10368000  10605271 615 12 19
OneSidedDoubleExpGlitch  readout_tmi_carrier_31 3456000.0  0.25  1  10368000  10979639 3584 11 8
OneSidedDoubleExpGlitch  readout_isi_carrier_21 3456000.0  0.25  1  10368000  11184917 2532 15 6
OneSidedDoubleExpGlitch  readout_isi_carrier_13 3456000.0  0.25  1  10368000  11052016 3453 6 18
OneSidedDoubleExpGlitch  readout_isi_carrier_31 3456000.0  0.25  1  10368000  11105961 1471 8 16
OneSidedDoubleExpGlitch  readout_tmi_carrier_21 3456000.0  0.25  1  10368000  10882175 798 19 7
OneSidedDoubleExpGlitch  readout_isi_carrier_21 3456000.0  0.25  1  10368000  10810725 3052 13 10
OneSidedDoubleExpGlitch  readout_tmi_carrier_21 3456000.0  0.25  1  10368000  11226043 3044 19 9
OneSidedDoubleExpGlitch  readout_tmi_carrier_21 3456000.0  0.25  1  10368000  10381056 2419 18 8
OneSidedDoubleExpGlitch  readout_tmi_carrier_21 3456000.0  0.25  1  10368000  11169284 1936 7 19
OneSidedDoubleExpGlitch  readout_tmi_carrier_32 3456000.0  0.25  1  10368000  10998841 3171 13 6
OneSidedDoubleExpGlitch  readout_tmi_carrier_12 3456000.0  0.25  1  10368000  10725438 974 19 19
OneSidedDoubleExpGlitch  readout_isi_carrier_21 3456000.0  0.25  1  10368000  10659119 4364 17 18
OneSidedDoubleExpGlitch  readout_tmi_carrier_21 3456000.0  0.25  1  10368000  10869917 1782 17 5
OneSidedDoubleExpGlitch  readout_tmi_carrier_32 3456000.0  0.25  1  10368000  10548779 4529 5 5
OneSidedDoubleExpGlitch  readout_isi_carrier_12 3456000.0  0.25  1  10368000  10414889 1234 9 18
OneSidedDoubleExpGlitch  readout_isi_carrier_12 3456000.0  0.25  1  10368000  10715590 3147 11 13
OneSidedDoubleExpGlitch  readout_tmi_carrier_21 3456000.0  0.25  1  10368000  10783421 2384 6 15
OneSidedDoubleExpGlitch  readout_tmi_carrier_13 3456000.0  0.25  1  10368000  10465838 4246 10 8
OneSidedDoubleExpGlitch  readout_isi_carrier_13 3456000.0  0.25  1  10368000  10709591 434 18 14
OneSidedDoubleExpGlitch  readout_tmi_carrier_23 3456000.0  0.25  1  10368000  11218414 3701 11 17
OneSidedDoubleExpGlitch  readout_tmi_carrier_31 3456000.0  0.25  1  10368000  10879458 1552 11 13
OneSidedDoubleExpGlitch  readout_tmi_carrier_23 3456000.0  0.25  1  10368000  11056904 1139 13 5
OneSidedDoubleExpGlitch  readout_tmi_carrier_23 3456000.0  0.25  1  10368000  10887053 1248 16 5
OneSidedDoubleExpGlitch  readout_tmi_carrier_13 3456000.0  0.25  1  10368000  10855951 3725 5 18
OneSidedDoubleExpGlitch  readout_isi_carrier_21 3456000.0  0.25  1  10368000  10797736 2398 15 11
OneSidedDoubleExpGlitch  readout_tmi_carrier_13 3456000.0  0.25  1  10368000  11151649 3947 12 7
OneSidedDoubleExpGlitch  readout_isi_carrier_32 3456000.0  0.25  1  10368000  10507536 1883 5 16
OneSidedDoubleExpGlitch  readout_tmi_carrier_32 3456000.0  0.25  1  10368000  10483649 398 12 9
OneSidedDoubleExpGlitch  readout_isi_carrier_31 3456000.0  0.25  1  10368000  10952407 4095 17 14
OneSidedDoubleExpGlitch  readout_isi_carrier_13 3456000.0  0.25  1  10368000  11061089 2665 7 7
OneSidedDoubleExpGlitch  readout_isi_carrier_31 3456000.0  0.25  1  10368000  10485102 2666 6 10
OneSidedDoubleExpGlitch  readout_isi_carrier_23 3456000.0  0.25  1  10368000  10774650 221 19 13
OneSidedDoubleExpGlitch  readout_tmi_carrier_12 3456000.0  0.25  1  10368000  10599029 3199 6 9
OneSidedDoubleExpGlitch  readout_isi_carrier_21 3456000.0  0.25  1  10368000  10422842 3039 13 5
OneSidedDoubleExpGlitch  readout_tmi_carrier_13 3456000.0  0.25  1  10368000  10679862 1250 11 6
OneSidedDoubleExpGlitch  readout_tmi_carrier_31 3456000.0  0.25  1  10368000  10730422 743 16 18
OneSidedDoubleExpGlitch  readout_tmi_carrier_21 3456000.0  0.25  1  10368000  11148923 4180 12 17
OneSidedDoubleExpGlitch  readout_tmi_carrier_23 3456000.0  0.25  1  10368000  10954262 326 7 18
OneSidedDoubleExpGlitch  readout_tmi_carrier_13 3456000.0  0.25  1  10368000  11081786 4026 13 7
OneSidedDoubleExpGlitch  readout_isi_carrier_12 3456000.0  0.25  1  10368000  10706943 975 18 11
OneSidedDoubleExpGlitch  readout_isi_carrier_32 3456000.0  0.25  1  10368000  10671373 1555 17 6
OneSidedDoubleExpGlitch  readout_isi_carrier_13 3456000.0  0.25  1  10368000  10395803 4088 8 19
OneSidedDoubleExpGlitch  readout_tmi_carrier_32 3456000.0  0.25  1  10368000  11126376 4090 16 10
OneSidedDoubleExpGlitch  readout_tmi_carrier_13 3456000.0  0.25  1  10368000  10468957 4901 5 5
OneSidedDoubleExpGlitch  readout_isi_carrier_31 3456000.0  0.25  1  10368000  10570461 1920 19 10
OneSidedDoubleExpGlitch  readout_tmi_carrier_13 3456000.0  0.25  1  10368000  10431879 1291 14 18
OneSidedDoubleExpGlitch  readout_isi_carrier_13 3456000.0  0.25  1  10368000  10471950 2334 5 9
OneSidedDoubleExpGlitch  readout_tmi_carrier_21 3456000.0  0.25  1  10368000  10575237 3385 7 13
OneSidedDoubleExpGlitch  readout_isi_carrier_12 3456000.0  0.25  1  10368000  10503220 2981 13 18
OneSidedDoubleExpGlitch  readout_tmi_carrier_31 3456000.0  0.25  1  10368000  10486071 4414 18 17
OneSidedDoubleExpGlitch  readout_isi_carrier_13 3456000.0  0.25  1  10368000  10614587 1974 9 17
OneSidedDoubleExpGlitch  readout_tmi_carrier_32 3456000.0  0.25  1  10368000  10434137 3981 16 15
OneSidedDoubleExpGlitch  readout_isi_carrier_32 3456000.0  0.25  1  10368000  10442236 834 15 8
OneSidedDoubleExpGlitch  readout_isi_carrier_21 3456000.0  0.25  1  10368000  11221908 4170 18 13
OneSidedDoubleExpGlitch  readout_tmi_carrier_23 3456000.0  0.25  1  10368000  10613592 3623 15 5
OneSidedDoubleExpGlitch  readout_isi_carrier_31 3456000.0  0.25  1  10368000  10955523 4747 16 14
OneSidedDoubleExpGlitch  readout_isi_carrier_23 3456000.0  0.25  1  10368000  11085736 1977 10 13
OneSidedDoubleExpGlitch  readout_tmi_carrier_32 3456000.0  0.25  1  10368000  11226651 729 14 7
OneSidedDoubleExpGlitch  readout_isi_carrier_21 3456000.0  0.25  1  10368000  10932178 3939 9 18
OneSidedDoubleExpGlitch  readout_isi_carrier_21 3456000.0  0.25  1  10368000  10453655 4251 5 10
OneSidedDoubleExpGlitch  readout_tmi_carrier_13 3456000.0  0.25  1  10368000  10444556 3068 15 19
OneSidedDoubleExpGlitch  readout_isi_carrier_32 3456000.0  0.25  1  10368000  11225442 2231 12 18
OneSidedDoubleExpGlitch  readout_tmi_carrier_12 3456000.0  0.25  1  10368000  10623111 4856 11 15
OneSidedDoubleExpGlitch  readout_tmi_carrier_23 3456000.0  0.25  1  10368000  10510997 2271 16 9
OneSidedDoubleExpGlitch  readout_isi_carrier_12 3456000.0  0.25  1  10368000  10880440 1462 6 16
OneSidedDoubleExpGlitch  readout_tmi_carrier_32 3456000.0  0.25  1  10368000  10592720 1841 11 13
OneSidedDoubleExpGlitch  readout_isi_carrier_12 3456000.0  0.25  1  10368000  10652591 1933 17 10
OneSidedDoubleExpGlitch  readout_tmi_carrier_32 3456000.0  0.25  1  10368000  10923936 2237 13 7
OneSidedDoubleExpGlitch  readout_isi_carrier_32 3456000.0  0.25  1  10368000  10655702 4015 12 16
OneSidedDoubleExpGlitch  readout_tmi_carrier_12 3456000.0  0.25  1  10368000  11206484 4337 13 13
OneSidedDoubleExpGlitch  readout_isi_carrier_21 3456000.0  0.25  1  10368000  11063400 378 13 11
OneSidedDoubleExpGlitch  readout_isi_carrier_32 3456000.0  0.25  1  10368000  10369406 594 7 14
OneSidedDoubleExpGlitch  readout_tmi_carrier_23 3456000.0  0.25  1  10368000  10534750 2536 5 15
OneSidedDoubleExpGlitch  readout_tmi_carrier_32 3456000.0  0.25  1  10368000  10566369 4805 18 11
OneSidedDoubleExpGlitch  readout_isi_carrier_32 3456000.0  0.25  1  10368000  10795931 281 6 5
OneSidedDoubleExpGlitch  readout_isi_carrier_13 3456000.0  0.25  1  10368000  10501319 3609 15 16
OneSidedDoubleExpGlitch  readout_tmi_carrier_32 3456000.0  0.25  1  10368000  10599716 175 14 11
OneSidedDoubleExpGlitch  readout_tmi_carrier_23 3456000.0  0.25  1  10368000  10408515 2979 16 16
OneSidedDoubleExpGlitch  readout_tmi_carrier_23 3456000.0  0.25  1  10368000  10911036 4209 17 12
OneSidedDoubleExpGlitch  readout_isi_carrier_12 3456000.0  0.25  1  10368000  10743720 317 19 9
OneSidedDoubleExpGlitch  readout_tmi_carrier_12 3456000.0  0.25  1  10368000  10762330 970 6 11
OneSidedDoubleExpGlitch  readout_tmi_carrier_32 3456000.0  0.25  1  10368000  10400236 4706 10 14
OneSidedDoubleExpGlitch  readout_tmi_carrier_31 3456000.0  0.25  1  10368000  11055825 4094 18 11
OneSidedDoubleExpGlitch  readout_tmi_carrier_21 3456000.0  0.25  1  10368000  10482906 4970 7 13
OneSidedDoubleExpGlitch  readout_tmi_carrier_32 3456000.0  0.25  1  10368000  11062709 1777 8 18
OneSidedDoubleExpGlitch  readout_tmi_carrier_31 3456000.0  0.25  1  10368000  10934422 381 19 8
OneSidedDoubleExpGlitch  readout_tmi_carrier_32 3456000.0  0.25  1  10368000  10384012 4265 18 7
OneSidedDoubleExpGlitch  readout_tmi_carrier_32 3456000.0  0.25  1  10368000  10897065 1068 6 9
OneSidedDoubleExpGlitch  readout_tmi_carrier_12 3456000.0  0.25  1  10368000  10651665 2675 17 15
OneSidedDoubleExpGlitch  readout_isi_carrier_32 3456000.0  0.25  1  10368000  10786777 1459 5 19
OneSidedDoubleExpGlitch  readout_tmi_carrier_31 3456000.0  0.25  1  10368000  10869103 2573 17 7
OneSidedDoubleExpGlitch  readout_isi_carrier_21 3456000.0  0.25  1  10368000  11138066 649 6 14
OneSidedDoubleExpGlitch  readout_isi_carrier_12 3456000.0  0.25  1  10368000  10620702 2523 11 12
OneSidedDoubleExpGlitch  readout_tmi_carrier_32 3456000.0  0.25  1  10368000  11094339 2865 17 17
OneSidedDoubleExpGlitch  readout_isi_carrier_23 3456000.0  0.25  1  10368000  10792140 4259 16 6
OneSidedDoubleExpGlitch  readout_tmi_carrier_23 3456000.0  0.25  1  10368000  10518437 3828 5 19
OneSidedDoubleExpGlitch  readout_tmi_carrier_21 3456000.0  0.25  1  10368000  10689210 1969 8 10
OneSidedDoubleExpGlitch  readout_tmi_carrier_21 3456000.0  0.25  1  10368000  11061926 4215 12 9
OneSidedDoubleExpGlitch  readout_tmi_carrier_23 3456000.0  0.25  1  10368000  10873466 3674 5 12
OneSidedDoubleExpGlitch  readout_isi_carrier_12 3456000.0  0.25  1  10368000  10576963 4670 6 15
OneSidedDoubleExpGlitch  readout_tmi_carrier_32 3456000.0  0.25  1  10368000  10393792 4328 11 13
OneSidedDoubleExpGlitch  readout_isi_carrier_31 3456000.0  0.25  1  10368000  10683781 1208 19 15
OneSidedDoubleExpGlitch  readout_isi_carrier_23 3456000.0  0.25  1  10368000  11058704 186 12 17
OneSidedDoubleExpGlitch  readout_tmi_carrier_12 3456000.0  0.25  1  10368000  11039170 4608 9 15
